Release 14.7 - par P.20131013 (nt64)
Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

Mon Sep 14 00:52:31 2020


INFO: The IO information is provided in three file formats as part of the Place and Route (PAR) process.  These formats are:
1. The <design name>_pad.txt file (this file) designed to provide information on IO usage in a human readable ASCII text format viewable through common text editors.
2. The <design namd>_pad.csv file for use with spreadsheet programs such as MS Excel. This file can also be read by PACE to communicate post PAR IO information.
3. The <design name>.pad file designed for parsing by customers.  It uses the "|" as a data field separator.

INPUT FILE:       large_multiplier_wrapper_map.ncd
OUTPUT FILE:      large_multiplier_wrapper_pad.txt
PART TYPE:        xc6vlx75t
SPEED GRADE:      -3
PACKAGE:          ff784

Pinout by Pin Number:

+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|Pin Number|Signal Name|Pin Usage|Pin Name                  |Direction|IO Standard|IO Bank Number|Drive (mA)|Slew Rate|Termination|IOB Delay|Voltage  |Constraint|IO Register|Signal Integrity|
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|A1        |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|A2        |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|A3        |           |IPAD     |MGTRXP3_116               |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|A4        |           |IPAD     |MGTRXN3_116               |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|A5        |           |         |MGTAVTTRCAL_115           |         |           |              |          |         |           |         |         |          |           |                |
|A6        |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|A7        |in0<13>    |IOB      |IO_L3P_36                 |INPUT    |LVCMOS25*  |36            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|A8        |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|A9        |in0<12>    |IOB      |IO_L2N_36                 |INPUT    |LVCMOS25*  |36            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|A10       |in0<11>    |IOB      |IO_L2P_36                 |INPUT    |LVCMOS25*  |36            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|A11       |           |IOBM     |IO_L14P_26                |UNUSED   |           |26            |          |         |           |         |         |          |           |                |
|A12       |           |IOBS     |IO_L14N_VREF_26           |UNUSED   |           |26            |          |         |           |         |         |          |           |                |
